Rank,Title,Previous Rank, Revenues ($M) ,Revenue Change, Profits ($M) ,Profit Change, Assets ($M) , Mkt Value as of 3/29/18 ($M) ,Employees,CEO,CEO Title,Sector,Industry,Years on Fortune 500 List,City,State, Latitude , Longitude 
472,Yum Brands,422," $5,878.00 ",-8%," $1,340.00 ",-17%," $5,311.00 "," $28,307.00 ",60000,Greg Creed,Chief Executive Officer &  Director,"Hotels, Restaurants &  Leisure",Food Services,20,Louisville,KY, 38.25266 , (85.75846)
473,Regeneron Pharmaceuticals,523," $5,872.00 ",21%," $1,198.50 ",34%," $8,764.00 "," $37,087.00 ",6200,Leonard S. Schleifer,"President, Chief Executive Officer &  Director",Health Care,Pharmaceuticals,1,Tarrytown,NY, 41.07621 , (73.85875)
474,Windstream Holdings,485," $5,853.00 ",9%," $(2,116.60)",," $11,084.00 ", $289.00 ,12979,Anthony W. Thomas,"President, Chief Executive Officer &  Director",Telecommunications,Telecommunications,6,Little Rock,AR, 34.74648 , (92.28959)
475,Magellan Health,526," $5,838.00 ",21%, $110.20 ,42%," $2,957.00 "," $2,605.00 ",10700,Barry M. Smith,Chairman &  Chief Executive Officer,Health Care,Health Care: Insurance and Managed Care,1,Scottsdale,AZ, 33.49417 , (111.92605)
476,Western & Southern Financial,483," $5,836.00 ",8%, $310.40 ,29%," $46,395.00 ",,2226,John F. Barrett,"Chairman, President &  Chief Executive Officer",Financials,"Insurance: Life, Health (Mutual)",14,Cincinnati,OH, 39.10312 , (84.51202)
477,Intercontinental Exchange,437," $5,834.00 ",-2%," $2,514.00 ",77%," $78,264.00 "," $42,132.00 ",4952,Jeffrey C. Sprecher,Chairman &  Chief Executive Officer,Financials,Securities,2,Atlanta,GA, 33.74900 , (84.38798)
478,Ingredion,456," $5,832.00 ",2%, $519.00 ,7%," $6,080.00 "," $9,313.00 ",11000,James P. Zallie,"President, Chief Executive Officer &  Director","Food, Beverages &  Tobacco",Food Production,7,Westchester,IL, 41.84983 , (87.88067)
479,Wyndham Destinations,461," $5,821.00 ",4%, $871.00 ,43%," $10,403.00 "," $11,411.00 ",39200,Michael D. Brown,Chairman &  Chief Executive Officer,"Hotels, Restaurants &  Leisure","Hotels, Casinos, Resorts",5,Parsippany-Troy Hills,NJ, 40.86529 , (74.41739)
480,Toll Brothers,497," $5,815.00 ",13%, $535.50 ,40%," $9,445.00 "," $6,566.00 ",4500,Douglas C. Yearley Jr.,Chairman &  Chief Executive Officer,Engineering &  Construction,Homebuilders,6,Horsham,PA, 40.17844 , (75.12851)
481,Seaboard,486," $5,809.00 ",8%, $247.00 ,-21%," $5,161.00 "," $4,992.00 ",11800,Steven J. Bresky,"Chairman, President &  Chief Executive Officer","Food, Beverages &  Tobacco",Food Production,8,Merriam,KS, 39.02362 , (94.69357)
482,Booz Allen Hamilton,481," $5,804.00 ",7%, $252.50 ,-14%," $3,373.00 "," $5,617.00 ",23300,Horacio D. Rozanski,"President, Chief Executive Officer &  Director",Technology,Information Technology Services,8,McLean,VA, 38.93387 , (77.17726)
483,First American Financial,464," $5,772.00 ",4%, $423.00 ,23%," $9,573.00 "," $6,511.00 ",18705,Dennis J. Gilmore,Chairman &  Chief Executive Officer,Financials,Insurance: Property and Casualty (Stock),4,Santa Ana,CA, 33.74547 , (117.86765)
484,Cincinnati Financial,476," $5,732.00 ",5%," $1,045.00 ",77%," $21,843.00 "," $12,185.00 ",4925,Steven J. Johnston,"President, Chief Executive Officer &  Director",Financials,Insurance: Property and Casualty (Stock),4,Fairfield,OH, 39.34547 , (84.56032)
485,Avon Products,444," $5,716.00 ",-2%, $22.00 ,," $3,698.00 "," $1,251.00 ",25000,Jan Zijderveld,Chairman &  Chief Executive Officer,Household Products,Household and Personal Products,24,Rye,NY, 40.98065 , (73.68374)
486,Northern Trust,501," $5,716.00 ",11%," $1,199.00 ",16%," $138,591.00 "," $23,264.00 ",18100,Michael G. O'Grady,"President, Chief Executive Officer &  Director",Financials,Commercial Banks,7,Chicago,IL, 41.87811 , (87.62980)
487,Fiserv,471," $5,696.00 ",4%," $1,246.00 ",34%," $10,289.00 "," $29,466.00 ",24000,Jeffery W. Yabuki,"President, Chief Executive Officer &  Director",Business Services,Financial Data Services,8,Brookfield,WI, 43.06057 , (88.10648)
488,Harley-Davidson,435," $5,647.00 ",-6%, $521.80 ,-25%," $9,973.00 "," $7,198.00 ",5800,Matthew S. Levatich,"President, Chief Executive Officer &  Director",Transportation,Transportation Equipment,17,Milwaukee,WI, 43.03890 , (87.90647)
489,Cheniere Energy,," $5,601.00 ",337%, $(393.00),," $27,906.00 "," $12,703.00 ",1230,Jack A. Fusco,"President, Chief Executive Officer &  Director",Energy,Energy,1,Houston,TX, 29.76043 , (95.36980)
490,Patterson,466," $5,593.00 ",1%, $170.90 ,-9%," $3,508.00 "," $2,104.00 ",7500,Mark S. Walchirk,"President, Chief Executive Officer &  Director",Wholesalers,Wholesalers: Health Care,2,St Paul,MN, 44.95370 , (93.08996)
491,Peabody Energy,533," $5,579.00 ",18%,,," $8,181.00 "," $4,649.00 ",7100,Glenn L. Kellow,"President, Chief Executive Officer &  Director",Energy,"Mining, Crude-Oil Production",13,St. Louis,MO, 38.62700 , (90.19940)
492,ON Semiconductor,598," $5,543.00 ",42%, $810.70 ,345%," $7,195.00 "," $10,406.00 ",34000,Keith D. Jackson,"President, Chief Executive Officer &  Director",Technology,Semiconductors and Other Electronic Components,1,Phoenix,AZ, 33.44838 , (112.07404)
493,Simon Property Group,477," $5,539.00 ",2%," $1,948.00 ",6%," $32,258.00 "," $47,861.00 ",4150,David E. Simon,Chairman &  Chief Executive Officer,Financials,Real estate,5,Indianapolis,IN, 39.76840 , (86.15807)
494,Western Union,478," $5,524.00 ",2%, $(557.10),-320%," $9,231.00 "," $8,857.00 ",11500,Hikmet Ersek,"President, Chief Executive Officer &  Director",Business Services,Financial Data Services,12,Englewood,CO, 39.64777 , (104.98776)
495,NetApp,468," $5,519.00 ",-1%, $509.00 ,122%," $9,493.00 "," $16,528.00 ",10100,George Kurian,"President, Chief Executive Officer &  Director",Technology,"Computers, Office Equipment",7,Sunnyvale,CA, 37.36883 , (122.03635)
496,Polaris Industries,537," $5,505.00 ",20%, $172.50 ,-19%," $3,090.00 "," $7,224.00 ",11000,Scott W. Wine,Chairman &  Chief Executive Officer,Transportation,Transportation Equipment,1,Medina,MN, 45.03524 , (93.58246)
497,Pioneer Natural Resources,606," $5,455.00 ",43%, $833.00 ,," $17,003.00 "," $29,254.00 ",3836,Timothy L. Dove,"President, Chief Executive Officer &  Director",Energy,"Mining, Crude-Oil Production",2,Irving,TX, 32.81402 , (96.94889)
498,ABM Industries,500," $5,454.00 ",6%, $3.80 ,-93%," $3,813.00 "," $2,200.00 ",140000,Scott B. Salmirs,"President, Chief Executive Officer &  Director",Business Services,Diversified Outsourcing Services,3,New York,NY, 40.71278 , (74.00597)
499,Vistra Energy,499," $5,430.00 ",5%, $(254.00),," $14,600.00 "," $8,925.00 ",4150,Curtis A. Morgan,"President, Chief Executive Officer &  Director",Energy,Energy,2,Irving,TX, 32.81402 , (96.94889)
500,Cintas,520," $5,429.00 ",11%, $480.70 ,-31%," $6,844.00 "," $18,165.00 ",42000,Scott D. Farmer,Chairman &  Chief Executive Officer,Business Services,Diversified Outsourcing Services,1,Cincinnati,OH, 39.10312 , (84.51202)
501,Hess,525," $5,405.00 ",12%," $(4,074.00)",," $23,112.00 "," $15,948.00 ",2075,John B. Hess,Chairman &  Chief Executive Officer,Energy,"Mining, Crude-Oil Production",,New York,NY, 40.71278 , (74.00597)
502,Host Hotels & Resorts,472," $5,387.00 ",-2%, $564.00 ,-26%," $11,693.00 "," $13,822.00 ",205,James F. Risoleo,"President, Chief Executive Officer &  Director",Financials,Real estate,,Bethesda,MD, 38.98465 , (77.09471)
503,Kelly Services,490," $5,374.00 ",2%, $71.60 ,-41%," $2,378.00 "," $1,116.00 ",7800,George S. Corona,"President, Chief Executive Officer &  Director",Business Services,Temporary Help,,Troy,MI, 42.60641 , (83.14978)
504,Genesis Healthcare,454," $5,374.00 ",-6%, $(579.00),," $4,788.00 ", $241.00 ,68700,George V. Hager Jr.,Chief Executive Officer &  Director,Health Care,Health Care: Medical Facilities,,Kennett Square,PA, 39.84678 , (75.71160)
505,Michaels Cos.,496," $5,362.00 ",3%, $390.50 ,3%," $2,300.00 "," $3,586.00 ",30500,Carl S. Rubin,Chairman &  Chief Executive Officer,Retailing,Specialty Retailers: Other,,Irving,TX, 32.81402 , (96.94889)
506,Advanced Micro Devices,565," $5,329.00 ",25%, $43.00 ,," $3,540.00 "," $9,740.00 ",8900,Lisa T. Su,"President, Chief Executive Officer &  Director",Technology,Semiconductors and Other Electronic Components,,Santa Clara,CA, 37.35411 , (121.95524)
507,Zoetis,521," $5,307.00 ",9%, $864.00 ,5%," $8,586.00 "," $40,524.00 ",9200,Juan Ram�n Alaix,Chairman &  Chief Executive Officer,Health Care,Pharmaceuticals,,Parsippany-Troy Hills,NJ, 40.86529 , (74.41739)
508,Williams-Sonoma,506," $5,292.00 ",4%, $259.50 ,-15%," $2,786.00 "," $4,441.00 ",19350,Laura J. Alber,"President, Chief Executive Officer &  Director",Retailing,Specialty Retailers: Other,,SF,CA, 37.77493 , (122.41942)
509,Fortune Brands Home & Security,511," $5,283.00 ",6%, $472.60 ,14%," $5,511.00 "," $8,717.00 ",23870,Christopher J. Klein,Chairman &  Chief Executive Officer,Household Products,"Home Equipment, Furnishings",,Deerfield,IL, 42.17114 , (87.84451)
510,Big Lots,495," $5,271.00 ",1%, $189.80 ,24%," $1,652.00 "," $1,830.00 ",22900,Lisa M. Bachmann,Executive V.P.-Principal Executive Officer,Retailing,Specialty Retailers: Other,,Columbus,OH, 39.96118 , (82.99879)
511,Robert Half International,493," $5,267.00 ",0%, $290.60 ,-15%," $1,868.00 "," $7,194.00 ",17200,Harold M. Messmer Jr.,Chairman &  Chief Executive Officer,Business Services,Temporary Help,,Menlo Park,CA, 37.45296 , (122.18173)
512,Post Holdings,508," $5,226.00 ",4%, $48.30 ,," $11,877.00 "," $4,968.00 ",11410,Robert V. Vitale,"President, Chief Executive Officer &  Director","Food, Beverages &  Tobacco",Food Consumer Products,,St. Louis,MO, 38.62700 , (90.19940)
513,Hasbro,509," $5,210.00 ",4%, $396.60 ,-28%," $5,290.00 "," $10,468.00 ",5400,Brian D. Goldner,Chairman &  Chief Executive Officer,Household Products,"Toys, Sporting Goods",,Pawtucket,RI, 41.87871 , (71.38256)
514,Hanover Insurance Group,517," $5,184.00 ",5%, $186.20 ,20%," $15,470.00 "," $5,017.00 ",4600,John C. Roche,"President, Chief Executive Officer &  Director",Financials,Insurance: Property and Casualty (Stock),,Worcester,MA, 42.26259 , (71.80229)
515,Navient,514," $5,179.00 ",4%, $292.00 ,-57%," $114,991.00 "," $3,456.00 ",6700,John F. Remondi,"President, Chief Executive Officer &  Director",Financials,Diversified Financials,,Wilmington,DE, 39.73907 , (75.53979)
516,Intuit,527," $5,177.00 ",7%, $971.00 ,-1%," $4,068.00 "," $44,397.00 ",8200,Brad D. Smith,"Chairman, President &  Chief Executive Officer",Technology,Computer Software,,Mountain View,CA, 37.38605 , (122.08385)
517,Domtar,505," $5,157.00 ",1%, $(258.00),-302%," $5,212.00 "," $2,667.00 ",10000,John D. Williams,"President, Chief Executive Officer &  Director",Materials,Forest and Paper Products,,Fort Mill,SC, 35.00737 , (80.94508)
518,Marathon Oil,536," $5,153.00 ",11%," $(5,723.00)",," $22,012.00 "," $13,707.00 ",2300,Lee M. Tillman,"President, Chief Executive Officer &  Director",Energy,"Mining, Crude-Oil Production",,Houston,TX, 29.76043 , (95.36980)
519,Cerner,530," $5,142.00 ",7%, $867.00 ,36%," $6,469.00 "," $19,291.00 ",26000,D. Brent Shafer,Chairman &  Chief Executive Officer,Health Care,Health Care: Pharmacy and Other Services,,North Kansas City,MO, 39.14291 , (94.57298)
520,Analog Devices,660," $5,108.00 ",49%, $727.30 ,-16%," $21,141.00 "," $33,700.00 ",15300,Vincent T. Roche,"President, Chief Executive Officer &  Director",Technology,Semiconductors and Other Electronic Components,,Norwood,MA, 42.19439 , (71.19897)
521,Telephone & Data Systems,504," $5,044.00 ",-1%, $153.00 ,256%," $9,295.00 "," $3,115.00 ",9900,LeRoy T. Carlson Jr.,"President, Chief Executive Officer &  Director",Telecommunications,Telecommunications,,Chicago,IL, 41.87811 , (87.62980)
522,Essendant,487," $5,037.00 ",-6%, $(267.00),-518%," $1,774.00 ", $294.00 ,6400,Richard D. Phillips,"President, Chief Executive Officer &  Director",Wholesalers,Wholesalers: Electronics and Office Equipment,,Deerfield,IL, 42.17114 , (87.84451)
523,Sonoco Products,531," $5,037.00 ",5%, $175.30 ,-39%," $4,558.00 "," $4,829.00 ",21000,Robert C. Tiede,"President, Chief Executive Officer &  Director",Materials,"Packaging, Containers",,Hartsville,SC, 34.37404 , (80.07340)
524,Juniper Networks,510," $5,027.00 ",1%, $306.20 ,-48%," $9,834.00 "," $8,364.00 ",9381,Rami Rahim,Chairman &  Chief Executive Officer,Technology,Network and Other Communications Equipment,,Sunnyvale,CA, 37.36883 , (122.03635)
525,Commercial Metals,535," $4,999.00 ",8%, $46.30 ,-15%," $2,975.00 "," $2,394.00 ",8797,Barbara R. Smith,"Chairman, President &  Chief Executive Officer",Materials,Metals,,Irving,TX, 32.81402 , (96.94889)
526,CSRA,570," $4,993.00 ",18%, $304.00 ,249%," $4,888.00 "," $6,759.00 ",18500,Lawrence B. Prior III,Chief Executive Officer &  Director,Technology,Information Technology Services,,Falls Church,VA, 38.88233 , (77.17109)
527,Under Armour,528," $4,977.00 ",3%, $(48.30),-119%," $4,006.00 "," $6,756.00 ",11350,Kevin A. Plank,Chairman &  Chief Executive Officer,Apparel,Apparel,,Baltimore,MD, 39.29038 , (76.61219)
528,RPM International,529," $4,958.00 ",3%, $181.80 ,-49%," $5,090.00 "," $6,372.00 ",14318,Frank C. Sullivan,Chairman &  Chief Executive Officer,Chemicals,Chemicals,,Medina,OH, 41.14325 , (81.85522)
529,Total System Services,579," $4,928.00 ",18%, $586.20 ,83%," $6,332.00 "," $15,676.00 ",11800,M. Troy Woods,"Chairman, President &  Chief Executive Officer",Business Services,Financial Data Services,,Columbus,GA, 32.46098 , (84.98771)
530,Levi Strauss,542," $4,904.00 ",8%, $281.40 ,-3%," $3,355.00 ", $-   ,13800,Charles V. Bergh,"President, Chief Executive Officer &  Director",Apparel,Apparel,,SF,CA, 37.77493 , (122.41942)
531,Brunswick,547," $4,898.00 ",9%, $146.40 ,-47%," $3,358.00 "," $5,188.00 ",15116,Mark D. Schwabero,Chairman &  Chief Executive Officer,Transportation,Transportation Equipment,,Libertyville,IL, 42.23336 , (87.92591)
532,YRC Worldwide,534," $4,891.00 ",4%, $(10.80),-150%," $1,586.00 ", $299.00 ,32000,Darren D. Hawkins,Chief Executive Officer,Transportation,"Trucking, Truck Leasing",,Overland Park,KS, 38.98223 , (94.67079)
533,Mattel,474," $4,882.00 ",-11%," $(1,053.80)",-431%," $6,239.00 "," $4,523.00 ",28000,Ynon Kreiz,Chief Executive Officer,Household Products,"Toys, Sporting Goods",,El Segundo,CA, 33.91918 , (118.41647)
534,FM Global,557," $4,875.00 ",12%, $254.10 ,-68%," $23,247.00 ",,5441,Thomas A. Lawson,"Chairman, President &  Chief Executive Officer",Financials,Insurance: Property and Casualty (Stock),,Johnston,RI, 41.82052 , (71.51262)
535,NiSource,545," $4,875.00 ",9%, $128.50 ,-61%," $19,962.00 "," $8,068.00 ",8175,Joseph Hamrock,"President, Chief Executive Officer &  Director",Energy,Utilities: Gas and Electric,,Merrillville,IN, 41.48281 , (87.33281)
536,Caesars Entertainment,541," $4,852.00 ",7%, $(375.00),," $25,512.00 "," $7,838.00 ",65000,Mark P. Frissora,"President, Chief Executive Officer &  Director","Hotels, Restaurants &  Leisure","Hotels, Casinos, Resorts",,Las Vegas,NV, 36.16994 , (115.13983)
537,Electronic Arts,556," $4,845.00 ",10%, $967.00 ,-16%," $7,718.00 "," $37,188.00 ",8800,Andrew Wilson,Chief Executive Officer &  Director,Technology,Entertainment,,Redwood City,CA, 37.48522 , (122.23635)
538,Dynegy,561," $4,842.00 ",12%, $76.00 ,," $11,771.00 "," $1,952.00 ",2489,Curtis A. Morgan,CEO-Vistra Energy,Energy,Energy,,Houston,TX, 29.76043 , (95.36980)
539,McCormick,553," $4,834.00 ",10%, $477.40 ,1%," $10,386.00 "," $13,964.00 ",11700,Lawrence E. Kurzius,"Chairman, President &  Chief Executive Officer","Food, Beverages &  Tobacco",Food Consumer Products,,Sparks Glencoe,MD, 39.53094 , (76.64580)
540,T. Rowe Price,573," $4,793.00 ",14%," $1,497.80 ",23%," $7,535.00 "," $26,409.00 ",6881,William J. Stromberg,"President, Chief Executive Officer &  Director",Financials,Securities,,Baltimore,MD, 39.29038 , (76.61219)
541,Orbital ATK,549," $4,764.00 ",7%, $310.00 ,6%," $5,666.00 "," $7,665.00 ",13900,Blake Larson,"President, Chief Executive Officer &  Director",Aerospace &  Defense,Aerospace and Defense,,Sterling,VA, 38.96249 , (77.43805)
542,Tutor Perini,513," $4,757.00 ",-4%, $148.40 ,55%," $4,264.00 "," $1,098.00 ",10061,Ronald N. Tutor,Chairman &  Chief Executive Officer,Engineering &  Construction,"Engineering, Construction",,Los Angeles,CA, 34.30583 , (118.45720)
543,Brookdale Senior Living,512," $4,747.00 ",-5%, $(571.40),," $7,675.00 "," $1,252.00 ",62550,Lucinda M. Baier,"President, Chief Executive Officer &  Director",Health Care,Health Care: Medical Facilities,,Brentwood,TN, 36.03312 , (86.78278)
544,Huntington Bancshares,610," $4,740.00 ",25%," $1,186.00 ",67%," $104,185.00 "," $16,209.00 ",15770,Stephen D. Steinour,"Chairman, President &  Chief Executive Officer",Financials,Commercial Banks,,Columbus,OH, 39.96118 , (82.99879)
545,Wayfair,666," $4,721.00 ",40%, $(244.60),," $1,213.00 "," $5,977.00 ",7751,Niraj S. Shah,"Co-Chairman, President &  Chief Executive Officer",Technology,Internet Services and Retailing,,Boston,MA, 42.36008 , (71.05888)
546,Rush Enterprises,575," $4,714.00 ",12%, $172.10 ,324%," $2,890.00 "," $1,609.00 ",6825,W. M. Rush,"Chairman, President &  Chief Executive Officer",Retailing,"Automotive Retailing, Services",,New Braunfels,TX, 29.70300 , (98.12445)
547,Xylem,611," $4,707.00 ",25%, $331.00 ,27%," $6,860.00 "," $13,839.00 ",16200,Patrick K. Decker,"President, Chief Executive Officer &  Director",Industrials,Industrial Machinery,,Rye Brook,NY, 41.01926 , (73.68346)
548,Neiman Marcus Group,515," $4,706.00 ",-5%, $(531.80),," $7,704.00 ",,13700,Geoffroy van Raemdonck,Chairman &  Chief Executive Officer,Retailing,Specialty Retailers: Apparel,,Dallas,TX, 32.77666 , (96.79699)
549,Hyatt Hotels,552," $4,685.00 ",6%, $249.00 ,22%," $7,672.00 "," $9,054.00 ",45000,Mark S. Hoplamazian,"President, Chief Executive Officer &  Director","Hotels, Restaurants &  Leisure","Hotels, Casinos, Resorts",,Chicago,IL, 41.87811 , (87.62980)
550,Sprouts Farmers Market,585," $4,665.00 ",15%, $158.40 ,28%," $1,582.00 "," $3,122.00 ",27000,Amin N. Maredia,Chairman &  Chief Executive Officer,Food &  Drug Stores,Food and Drug Stores,,Phoenix,AZ, 33.44838 , (112.07404)
551,Diebold Nixdorf,672," $4,609.00 ",38%, $(233.10),," $5,250.00 "," $1,170.00 ",23000,Gerrard B. Schmid,"President, Chief Executive Officer &  Director",Technology,"Computers, Office Equipment",,North Canton,OH, 40.87589 , (81.40234)
552,Roper Technologies,609," $4,608.00 ",22%, $971.80 ,48%," $14,316.00 "," $28,862.00 ",14236,Brian D. Jellison,"Chairman, President &  Chief Executive Officer",Technology,"Scientific,Photographic and  Control Equipment",,Sarasota,FL, 27.33643 , (82.53065)
553,Smart & Final Stores,559," $4,571.00 ",5%, $(138.90),-1173%," $1,810.00 ", $412.00 ,7570,David G. Hirz,"President, Chief Executive Officer &  Director",Food &  Drug Stores,Food and Drug Stores,,Commerce,CA, 34.00057 , (118.15979)
554,CommScope Holding,518," $4,561.00 ",-7%, $193.80 ,-13%," $7,042.00 "," $7,670.00 ",20000,Marvin S. Edwards Jr.,"President, Chief Executive Officer &  Director",Technology,Network and Other Communications Equipment,,Newton,NC, 35.73445 , (81.34446)
555,Tapestry,546," $4,488.30 ",0%, $591.00 ,28%," $5,831.60 "," $14,988.00 ",12450,Victor Luis,Chairman &  Chief Executive Officer,Apparel,Apparel,,New York City,NY, 40.71278 , (74.00597)
556,Diplomat Pharmacy,554," $4,485.00 ",2%, $15.50 ,-45%," $1,940.00 "," $1,493.00 ",2298,Brian Griffin,Interim Chief Executive Officer &  Director,Health Care,Health Care: Pharmacy and Other Services,,Flint,MI, 43.01253 , (83.68746)
557,Chipotle Mexican Grill,599," $4,476.00 ",15%, $176.30 ,668%," $2,046.00 "," $9,025.00 ",68890,Brian R. Niccol,Chairman &  Chief Executive Officer,"Hotels, Restaurants &  Leisure",Food Services,,Denver,CO, 39.73924 , (104.99025)
558,Agilent Technologies,576," $4,472.00 ",6%, $684.00 ,48%," $8,426.00 "," $21,574.00 ",13500,Michael R. McMullen,"President, Chief Executive Officer &  Director",Technology,"Scientific,Photographic and  Control Equipment",,Santa Clara,CA, 37.35411 , (121.95524)
559,Science Applications International,551," $4,454.00 ",0%, $179.00 ,25%," $2,073.00 "," $3,332.00 ",15391,Anthony J. Moraco,Chairman &  Chief Executive Officer,Technology,Information Technology Services,,Reston,VA, 38.95863 , (77.35700)
560,MDU Resources Group,569," $4,444.00 ",5%, $281.20 ,336%," $6,335.00 "," $5,500.00 ",10140,David L. Goodin,"President, Chief Executive Officer &  Director",Energy,Energy,,Bismarck,ND, 46.80833 , (100.78374)
561,Select Medical Holdings,563," $4,444.00 ",4%, $177.20 ,54%," $5,127.00 "," $2,313.00 ",36050,David S. Chernow,"President, Chief Executive Officer &  Director",Health Care,Health Care: Medical Facilities,,Mechanicsburg,PA, 40.21426 , (77.00859)
562,Boise Cascade,597," $4,432.00 ",13%, $83.00 ,117%," $1,607.00 "," $1,500.00 ",6370,Thomas K. Corrick,Chairman &  Chief Executive Officer,Wholesalers,Wholesalers: Diversified,,Boise,ID, 43.61502 , (116.20231)
563,National General Holdings,643," $4,431.00 ",25%, $105.80 ,-40%," $8,440.00 "," $2,598.00 ",7570,Barry Karfunkel,"President, Chief Executive Officer &  Director",Financials,Insurance: Property and Casualty (Stock),,New York,NY, 40.71278 , (74.00597)
564,SCANA,572," $4,407.00 ",4%, $(119.00),-120%," $18,739.00 "," $5,356.00 ",5228,Jimmy E. Addison,"President, Chief Executive Officer &  Director",Energy,Utilities: Gas and Electric,,Cayce,SC, 33.96571 , (81.07398)
565,Graphic Packaging Holding,562," $4,404.00 ",3%, $300.20 ,32%," $4,863.00 "," $4,754.00 ",13000,Michael P. Doss,"President, Chief Executive Officer &  Director",Materials,"Packaging, Containers",,Atlanta,GA, 33.74900 , (84.38798)
566,Fastenal,591," $4,391.00 ",11%, $578.60 ,16%," $2,911.00 "," $15,703.00 ",20565,Daniel L. Florness,"President, Chief Executive Officer &  Director",Wholesalers,Wholesalers: Diversified,,Winona,MN, 44.05539 , (91.66635)
567,Schneider National,," $4,384.00 ",8%, $389.90 ,149%," $3,331.00 "," $4,610.00 ",19600,Christopher B. Lofgren,"President, Chief Executive Officer &  Director",Transportation,"Trucking, Truck Leasing",,Green Bay,WI, 44.51332 , (88.01330)
568,Laureate Education,571," $4,378.00 ",3%, $91.50 ,-75%," $7,392.00 "," $2,578.00 ",54500,Eilif Serck-Hanssen,Chairman &  Chief Executive Officer,Business Services,Education,,Baltimore,MD, 39.29038 , (76.61219)
569,Beacon Roofing Supply,582," $4,377.00 ",6%, $100.90 ,12%," $3,450.00 "," $3,609.00 ",5406,Paul M. Isabella,"President, Chief Executive Officer &  Director",Wholesalers,Wholesalers: Diversified,,Herndon,VA, 38.96955 , (77.38610)
570,KB Home,634," $4,369.00 ",22%, $180.60 ,71%," $5,042.00 "," $2,468.00 ",1915,Jeffrey T. Mezger,"Chairman, President &  Chief Executive Officer",Engineering &  Construction,Homebuilders,,Los Angeles,CA, 34.05223 , (118.24368)
571,Equinix,624," $4,368.00 ",19%, $233.00 ,84%," $18,692.00 "," $33,128.00 ",7273,Peter F. Van Camp,"Chairman, President &  Interim Chief Executive Officer",Financials,Real estate,,Redwood City,CA, 37.48522 , (122.23635)
572,Terex,445," $4,363.00 ",-25%, $128.70 ,," $3,463.00 "," $3,030.00 ",10700,John L. Garrison Jr.,"President, Chief Executive Officer &  Director",Industrials,Construction and Farm Machinery,,Westport,CT, 41.14147 , (73.35790)
573,Crown Castle International,596," $4,356.00 ",11%, $444.60 ,25%," $32,230.00 "," $45,452.00 ",4500,Jay A. Brown,"President, Chief Executive Officer &  Director",Financials,Real estate,,Houston,TX, 29.76043 , (95.36980)
574,CACI International,615," $4,355.00 ",16%, $163.70 ,15%," $3,911.00 "," $3,727.00 ",18600,Kenneth Asbury,"President, Chief Executive Officer &  Director",Technology,Information Technology Services,,Arlington,VA, 38.88162 , (77.09098)
575,Watsco,574," $4,342.00 ",3%, $208.20 ,14%," $2,047.00 "," $6,752.00 ",5200,Albert H. Nahmad,Chairman &  Chief Executive Officer,Wholesalers,Wholesalers: Diversified,,Miami,FL, 25.76168 , (80.19179)
576,Coca-Cola Bottling,701," $4,324.00 ",37%, $96.50 ,93%," $3,073.00 "," $1,615.00 ",15500,J. Frank Harrison III,Chairman &  Chief Executive Officer,"Food, Beverages &  Tobacco",Beverages,,Charlotte,NC, 35.22709 , (80.84313)
577,Welltower,564," $4,317.00 ",1%, $522.80 ,-52%," $27,944.00 "," $20,246.00 ",392,Thomas J. DeRosa,Chairman &  Chief Executive Officer,Financials,Real estate,,Toledo,OH, 41.65281 , (83.53787)
578,ADT,," $4,316.00 ",46%, $342.60 ,," $17,015.00 "," $5,941.00 ",18000,Timothy J. Whall,"President, Chief Executive Officer &  Director",Business Services,Diversified Outsourcing Services,,Boca Raton,FL, 26.36831 , (80.12893)
579,Ametek,604," $4,300.00 ",12%, $681.50 ,33%," $7,796.00 "," $17,590.00 ",16900,David A. Zapico,Chairman &  Chief Executive Officer,Technology,"Scientific,Photographic and  Control Equipment",,Berwyn,PA, 40.04582 , (75.43959)
580,CNO Financial Group,590," $4,297.00 ",8%, $175.60 ,-51%," $33,110.00 "," $3,630.00 ",3300,Gary C. Bhojwani,Chairman &  Chief Executive Officer,Financials,"Insurance: Life, Health (stock)",,Carmel,IN, 39.97837 , (86.11804)
581,Camping World Holdings,648," $4,285.00 ",22%, $28.40 ,-85%," $2,562.00 "," $3,084.00 ",10227,Marcus A. Lemonis,Chairman &  Chief Executive Officer,Retailing,"Automotive Retailing, Services",,Lincolnshire,IL, 42.19002 , (87.90840)
582,LPL Financial Holdings,584," $4,282.00 ",6%, $238.90 ,25%," $5,359.00 "," $5,510.00 ",3736,Dan H. Arnold,"President, Chief Executive Officer &  Director",Financials,Securities,,Boston,MA, 42.36008 , (71.05888)
583,Noble Energy,653," $4,256.00 ",22%," $(1,118.00)",," $21,476.00 "," $14,913.00 ",2277,David L. Stover,"Chairman, President &  Chief Executive Officer",Energy,"Mining, Crude-Oil Production",,Houston,TX, 29.76043 , (95.36980)
584,Bloomin Brands,568," $4,213.00 ",-1%, $100.20 ,140%," $2,573.00 "," $2,256.00 ",94000,Elizabeth A. Smith,"Chairman, President &  Chief Executive Officer","Hotels, Restaurants &  Leisure",Food Services,,Tampa,FL, 27.95058 , (82.45718)
